Feature,Importance,Emiten,Scenario,Category,Feature Name
Yt,0.03321437105294082,ARTO,baseline,Technical,Close Price
X1,0.05714990068280036,ARTO,baseline,Technical,Open Price
X2,0.03274043155140248,ARTO,baseline,Technical,High Price
X3,0.05902445751263806,ARTO,baseline,Technical,Low Price
X4,0.0282655974065898,ARTO,baseline,Technical,Volume
X5,0.03235069421944186,ARTO,baseline,Technical,MACD
X6,0.04003801827632555,ARTO,baseline,Technical,RSI
Yt,0.04293813450072117,BBCA,baseline,Technical,Close Price
X1,0.02964147858865833,BBCA,baseline,Technical,Open Price
X2,0.08919165464993115,BBCA,baseline,Technical,High Price
X3,0.05167731229440133,BBCA,baseline,Technical,Low Price
X4,0.03777121745057212,BBCA,baseline,Technical,Volume
X5,0.025213699116263685,BBCA,baseline,Technical,MACD
X6,0.047077568886332535,BBCA,baseline,Technical,RSI
Yt,0.012494915304669769,BBNI,baseline,Technical,Close Price
X1,0.015478601017417297,BBNI,baseline,Technical,Open Price
X2,0.03218879482556586,BBNI,baseline,Technical,High Price
X3,0.03036491679219209,BBNI,baseline,Technical,Low Price
X4,0.01732283828815676,BBNI,baseline,Technical,Volume
X5,0.027406904784471983,BBNI,baseline,Technical,MACD
X6,0.029554322859596534,BBNI,baseline,Technical,RSI
Yt,0.014107980500935011,BBRI,baseline,Technical,Close Price
X1,0.0355217062675747,BBRI,baseline,Technical,Open Price
X2,0.02402470610849766,BBRI,baseline,Technical,High Price
X3,0.03776719694025134,BBRI,baseline,Technical,Low Price
X4,0.027787090165508517,BBRI,baseline,Technical,Volume
X5,0.020820269287944754,BBRI,baseline,Technical,MACD
X6,0.021431209450245084,BBRI,baseline,Technical,RSI
Yt,0.03942569056206795,BBTN,baseline,Technical,Close Price
X1,0.056548308893835955,BBTN,baseline,Technical,Open Price
X2,0.04258177895232042,BBTN,baseline,Technical,High Price
X3,0.03790373273355887,BBTN,baseline,Technical,Low Price
X4,0.03249625721481246,BBTN,baseline,Technical,Volume
X5,0.06108629522882948,BBTN,baseline,Technical,MACD
X6,0.06550149939894201,BBTN,baseline,Technical,RSI
Yt,0.026616497370607298,BMRI,baseline,Technical,Close Price
X1,0.0682473000498371,BMRI,baseline,Technical,Open Price
X2,0.03243528597659129,BMRI,baseline,Technical,High Price
X3,0.035049962399912205,BMRI,baseline,Technical,Low Price
X4,0.025661435400422365,BMRI,baseline,Technical,Volume
X5,0.016906751748086857,BMRI,baseline,Technical,MACD
X6,0.0190560146690359,BMRI,baseline,Technical,RSI
Yt,0.013745220530023885,BRIS,baseline,Technical,Close Price
X1,0.01930861639979358,BRIS,baseline,Technical,Open Price
X2,0.038379692450035766,BRIS,baseline,Technical,High Price
X3,0.023316765784376355,BRIS,baseline,Technical,Low Price
X4,0.048231769713232,BRIS,baseline,Technical,Volume
X5,0.044454453737899025,BRIS,baseline,Technical,MACD
X6,0.051656234948853796,BRIS,baseline,Technical,RSI
Yt,0.011727924721472322,GOTO,baseline,Technical,Close Price
X1,0.030106858517684142,GOTO,baseline,Technical,Open Price
X2,0.08076584491667226,GOTO,baseline,Technical,High Price
X3,0.04868620905172348,GOTO,baseline,Technical,Low Price
X4,0.02694177150545088,GOTO,baseline,Technical,Volume
X5,0.01923487901453099,GOTO,baseline,Technical,MACD
X6,0.05791188449843176,GOTO,baseline,Technical,RSI
Yt,0.025557047334077765,ARTO,fusion,Technical,Close Price
X1,0.016662440903146954,ARTO,fusion,Technical,Open Price
X2,0.03136434594603387,ARTO,fusion,Technical,High Price
X3,0.02777307765181541,ARTO,fusion,Technical,Low Price
X4,0.018013199756090597,ARTO,fusion,Technical,Volume
X5,0.028441762281720146,ARTO,fusion,Technical,MACD
X6,0.018891464273629602,ARTO,fusion,Technical,RSI
X7,0.02354778230181685,ARTO,fusion,Sentiment,Prob. Positif
X8,0.021832161900713094,ARTO,fusion,Sentiment,Prob. Negatif
X9,0.01950364972665458,ARTO,fusion,Sentiment,Freq. Positive
X10,0.019126356284599327,ARTO,fusion,Sentiment,Freq. Negative
Yt,0.053189385370114035,BBCA,fusion,Technical,Close Price
X1,0.04135728866904391,BBCA,fusion,Technical,Open Price
X2,0.057278726313053745,BBCA,fusion,Technical,High Price
